epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.989,0.58545,0.93799,0.83202,0.97342,0.00261,0.03333,0.0008,0.00026,0.00261,0.03333,0.00116,0.00047,3.42886,10.6799,32.1728,4.99668,0.000659649,0.000659649,0.000659649
2,639.26,0.73009,0.96772,0.69377,1.05134,0.49664,0.53333,0.5235,0.27691,0.46772,0.5,0.48463,0.21648,1.48824,3.66355,4.84094,1.80622,0.00131975,0.00131975,0.00131975
3,882.416,0.73367,0.98355,0.65539,1.05584,0.85661,0.99568,0.95983,0.84085,0.85661,0.99568,0.95983,0.91049,0.54312,0.54265,2.18483,0.95154,0.00197325,0.00197325,0.00197325
4,1153.67,0.69605,1.00139,0.61134,1.0407,0.81552,0.86667,0.9081,0.76194,0.81552,0.86667,0.9077,0.84109,0.70919,0.70597,0.97888,1.00332,0.0019703,0.0019703,0.0019703
5,1430.76,0.66423,0.8915,0.55343,1.01781,0.92177,0.95,0.96224,0.86281,0.92177,0.95,0.96187,0.90528,0.51694,1.06031,1.27726,0.91135,0.0019604,0.0019604,0.0019604
6,1714.9,0.63194,0.88714,0.52966,1.00428,0.76037,0.95,0.86243,0.75578,0.76037,0.95,0.86243,0.77347,0.54163,1.32492,1.51768,0.96718,0.0019505,0.0019505,0.0019505
7,1958.64,0.625,0.86487,0.51808,0.99202,0.93654,0.98392,0.98652,0.88952,0.93654,0.98392,0.98652,0.94264,0.43403,0.49661,0.5637,0.84526,0.0019406,0.0019406,0.0019406
8,2249.8,0.59453,0.7959,0.51196,0.98758,0.96617,1,0.99149,0.92823,0.96617,1,0.99149,0.91815,0.36111,0.74374,0.35479,0.83037,0.0019307,0.0019307,0.0019307
9,2523.48,0.56959,0.79728,0.4502,0.97055,0.97372,0.98333,0.99468,0.9373,0.97372,0.98333,0.99468,0.96197,0.36504,0.50527,0.38176,0.83742,0.0019208,0.0019208,0.0019208
10,2821.46,0.54724,0.80554,0.42844,0.96556,0.95203,1,0.96993,0.89964,0.95203,1,0.97048,0.96191,0.39659,0.3598,0.39538,0.84798,0.0019109,0.0019109,0.0019109
11,3096.06,0.53233,0.71801,0.41696,0.95596,0.96355,1,0.97893,0.91831,0.96355,1,0.97893,0.96302,0.36559,0.36361,0.59229,0.8252,0.001901,0.001901,0.001901
12,3397.83,0.5302,0.8135,0.41421,0.953,0.93257,0.96667,0.97194,0.89991,0.93257,0.96667,0.97194,0.92687,0.38638,0.56429,0.39177,0.83749,0.0018911,0.0018911,0.0018911
13,3709.03,0.54,0.72862,0.41061,0.95826,0.95042,0.98333,0.98341,0.92598,0.95042,0.98333,0.98341,0.96984,0.33854,0.39849,0.33481,0.80807,0.0018812,0.0018812,0.0018812
14,3997.17,0.51892,0.7318,0.39035,0.94412,0.97946,1,0.99484,0.97068,0.97946,1,0.99484,0.98668,0.29283,0.32788,0.28789,0.80203,0.0018713,0.0018713,0.0018713
15,4263.14,0.50474,0.68674,0.37268,0.93866,0.93593,1,0.99285,0.93347,0.93593,1,0.99285,0.98133,0.3273,0.33129,0.47507,0.80788,0.0018614,0.0018614,0.0018614
16,4552.88,0.51577,0.72111,0.38428,0.93605,0.98179,1,0.99205,0.96718,0.98179,1,0.99205,0.98389,0.29265,0.3271,0.36118,0.79399,0.0018515,0.0018515,0.0018515
17,4866.58,0.50383,0.72122,0.38939,0.93141,0.98086,1,0.9909,0.95898,0.98086,1,0.9909,0.97932,0.29194,0.32452,0.26988,0.79241,0.0018416,0.0018416,0.0018416
18,5165.4,0.49934,0.70369,0.37709,0.93443,0.98256,1,0.99123,0.96663,0.98256,1,0.99123,0.98402,0.29965,0.32825,0.25646,0.79376,0.0018317,0.0018317,0.0018317
19,5519.09,0.48598,0.70127,0.36228,0.92941,0.97796,0.98333,0.98752,0.94546,0.97796,0.98333,0.98752,0.97518,0.29103,0.33792,0.24742,0.80869,0.0018218,0.0018218,0.0018218
20,5852.12,0.46338,0.66329,0.34621,0.91371,0.97112,1,0.98107,0.92206,0.97112,1,0.98107,0.97096,0.32994,0.33398,0.29135,0.80787,0.0018119,0.0018119,0.0018119
21,6136.27,0.48397,0.70797,0.34959,0.93985,0.98249,1,0.99418,0.97976,0.98249,1,0.99418,0.98486,0.26576,0.32059,0.22937,0.7963,0.001802,0.001802,0.001802
22,6502.09,0.47366,0.66216,0.34327,0.92374,0.95448,1,0.99403,0.97661,0.95448,1,0.99403,0.98138,0.28836,0.30527,0.27894,0.80064,0.0017921,0.0017921,0.0017921
23,6760.24,0.46081,0.64596,0.48058,0.91169,0.96772,1,0.99369,0.97692,0.96772,1,0.99369,0.98713,0.24557,0.35096,0.23148,0.7919,0.0017822,0.0017822,0.0017822
24,7078.43,0.46078,0.66848,0.34505,0.92078,0.98082,1,0.99287,0.97521,0.98082,1,0.99287,0.98662,0.25592,0.31703,0.31981,0.79419,0.0017723,0.0017723,0.0017723
25,7429.03,0.46502,0.67692,0.33445,0.91629,0.98234,1,0.99418,0.98357,0.98234,1,0.99418,0.99055,0.25979,0.29918,0.24709,0.79327,0.0017624,0.0017624,0.0017624
26,7799.33,0.47045,0.67823,0.34437,0.92471,0.98204,1,0.9932,0.96618,0.98204,1,0.9932,0.98042,0.26453,0.32513,0.24097,0.79232,0.0017525,0.0017525,0.0017525
27,8050.5,0.4568,0.6813,0.3389,0.92161,0.98359,0.99889,0.9909,0.98333,0.98359,0.99889,0.9909,0.97276,0.23622,0.45086,0.22081,0.78699,0.0017426,0.0017426,0.0017426
28,8373.39,0.45148,0.64935,0.32418,0.91559,0.98236,1,0.98877,0.97814,0.98236,1,0.98877,0.98267,0.24786,0.29808,0.23641,0.78621,0.0017327,0.0017327,0.0017327
29,8677.75,0.4622,0.66359,0.33384,0.92603,0.97946,1,0.99254,0.97723,0.97946,1,0.99254,0.98409,0.25081,0.3126,0.22251,0.78927,0.0017228,0.0017228,0.0017228
30,9075.39,0.45677,0.66876,0.32972,0.92157,0.96744,1,0.98762,0.97351,0.96744,1,0.98762,0.97828,0.22789,0.29937,0.22316,0.7811,0.0017129,0.0017129,0.0017129
31,9356.09,0.46014,0.6559,0.31369,0.91622,0.96633,1,0.9932,0.95649,0.96633,1,0.9932,0.99,0.30746,0.30211,0.27234,0.80839,0.001703,0.001703,0.001703
32,9640.95,0.45669,0.64393,0.32695,0.92865,0.96732,1,0.99205,0.96404,0.96732,1,0.99205,0.98388,0.2523,0.30958,0.23209,0.78934,0.0016931,0.0016931,0.0016931
33,9993.27,0.4448,0.64048,0.31,0.90897,0.96637,1,0.99123,0.97026,0.96637,1,0.99123,0.98671,0.27433,0.33937,0.2219,0.79562,0.0016832,0.0016832,0.0016832
34,10380.2,0.43484,0.63717,0.30381,0.91295,0.97192,1,0.98516,0.97411,0.97192,1,0.98516,0.97057,0.23365,0.31699,0.24335,0.77838,0.0016733,0.0016733,0.0016733
35,10645.9,0.43662,0.6479,0.30433,0.90738,0.98181,1,0.98467,0.96011,0.98181,1,0.98467,0.98272,0.25732,0.28946,0.22111,0.78353,0.0016634,0.0016634,0.0016634
36,10984.5,0.44108,0.61916,0.30487,0.91267,0.98233,1,0.9932,0.97912,0.98233,1,0.9932,0.99225,0.23407,0.29624,0.22727,0.78585,0.0016535,0.0016535,0.0016535
37,11299.9,0.43816,0.631,0.31132,0.91282,0.96463,1,0.98746,0.97303,0.96463,1,0.98746,0.98228,0.25748,0.35067,0.29544,0.78395,0.0016436,0.0016436,0.0016436
