epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.446,0.59677,0.96581,0.82118,0.97039,0.03449,0.18333,0.01222,0.00198,0.03196,0.23333,0.01283,0.00309,nan,nan,nan,nan,0.000659649,0.000659649,0.000659649
2,600.574,0.72974,0.91882,0.67714,1.03881,0.50437,0.5,0.46451,0.28509,0.45897,0.55,0.41228,0.30702,1.15546,2.25443,5.05036,1.59269,0.00131319,0.00131319,0.00131319
3,844.756,0.7576,0.9709,0.66578,1.06516,0.81106,0.88333,0.89553,0.72056,0.81359,0.88333,0.88955,0.78625,0.71881,1.55244,1.67595,1.05551,0.00195352,0.00195352,0.00195352
4,1178.28,0.70967,0.96651,0.61431,1.03566,0.7576,0.67724,0.77835,0.64352,0.78105,0.7135,0.79276,0.6854,0.69187,1.39134,1.74343,1.06294,0.0019406,0.0019406,0.0019406
5,1455.44,0.64112,0.89249,0.54633,1.0092,0.97993,1,0.9868,0.91198,0.97993,1,0.9868,0.94134,0.39894,0.60334,0.63474,0.84495,0.0019208,0.0019208,0.0019208
6,1756.1,0.60279,0.82293,0.49852,0.98679,0.89472,0.86667,0.95867,0.83338,0.89472,0.86667,0.95369,0.88246,0.56246,0.80576,0.92876,0.92949,0.001901,0.001901,0.001901
7,2021.85,0.6175,0.81434,0.49304,0.99395,0.96227,1,0.99018,0.90505,0.96227,1,0.99018,0.9601,0.38826,0.38423,0.38928,0.83684,0.0018812,0.0018812,0.0018812
8,2298.74,0.5895,0.80201,0.48288,0.97961,0.92948,0.98333,0.9662,0.86819,0.92948,0.98333,0.9662,0.92762,0.4484,0.49147,0.51268,0.85365,0.0018614,0.0018614,0.0018614
9,2546.86,0.55697,0.74323,0.43176,0.95849,0.93197,1,0.97425,0.93347,0.93197,1,0.97425,0.9647,0.32349,0.34824,0.48466,0.80155,0.0018416,0.0018416,0.0018416
10,2843.59,0.54026,0.77554,0.42026,0.95133,0.94893,1,0.99287,0.95118,0.94893,1,0.99287,0.97929,0.33435,0.31496,0.35107,0.80476,0.0018218,0.0018218,0.0018218
11,3141.09,0.52331,0.7176,0.42419,0.94725,0.95012,1,0.98342,0.91896,0.95012,1,0.98342,0.962,0.3774,0.41884,0.37186,0.81651,0.001802,0.001802,0.001802
12,3429.33,0.54527,0.7416,0.41279,0.9519,0.97434,1,0.98582,0.96091,0.97434,1,0.98582,0.96402,0.29544,0.39807,0.33387,0.78928,0.0017822,0.0017822,0.0017822
13,3712.53,0.50129,0.72236,0.37911,0.93424,0.96771,0.99912,0.98886,0.93409,0.96771,0.99912,0.98886,0.97299,0.34101,0.41727,0.29496,0.81876,0.0017624,0.0017624,0.0017624
14,4010.2,0.51654,0.72821,0.39833,0.94428,0.98148,1,0.98926,0.94345,0.98148,1,0.98926,0.96835,0.33485,0.39497,0.30747,0.80217,0.0017426,0.0017426,0.0017426
15,4249.74,0.49652,0.68646,0.38342,0.92979,0.98135,1,0.99205,0.95547,0.98135,1,0.99205,0.97993,0.34238,0.30603,0.28012,0.79959,0.0017228,0.0017228,0.0017228
16,4526.13,0.49945,0.70813,0.38141,0.93701,0.98181,1,0.98385,0.94113,0.98181,1,0.98385,0.97758,0.30441,0.28689,0.28599,0.79747,0.001703,0.001703,0.001703
17,4811.17,0.49975,0.68316,0.37621,0.93707,0.94979,1,0.97319,0.94122,0.94979,1,0.97319,0.96077,0.29595,0.31394,0.3225,0.79082,0.0016832,0.0016832,0.0016832
18,5106.19,0.4859,0.68597,0.35716,0.92847,0.9781,1,0.99074,0.95452,0.9781,1,0.99074,0.97553,0.30862,0.31209,0.2805,0.79967,0.0016634,0.0016634,0.0016634
19,5375.81,0.47283,0.6992,0.35051,0.92553,0.98237,1,0.98959,0.95582,0.98237,1,0.98959,0.97795,0.32445,0.30848,0.27935,0.80783,0.0016436,0.0016436,0.0016436
20,5652.85,0.4711,0.67558,0.34261,0.92432,0.96454,1,0.99318,0.96275,0.96454,1,0.99318,0.98518,0.28268,0.29356,0.29764,0.78852,0.0016238,0.0016238,0.0016238
21,5946.83,0.49068,0.77782,0.35636,0.92593,0.98218,1,0.98877,0.96755,0.98218,1,0.98877,0.98123,0.26669,0.30755,0.25402,0.78376,0.001604,0.001604,0.001604
22,6205.32,0.46475,0.66052,0.3327,0.92241,0.94707,1,0.97797,0.94846,0.94707,1,0.97797,0.97042,0.31873,0.30398,0.30496,0.8061,0.0015842,0.0015842,0.0015842
23,6471.01,0.46114,0.65368,0.33742,0.91817,0.96481,1,0.99151,0.96345,0.96481,1,0.99151,0.97454,0.26698,0.35349,0.28845,0.79883,0.0015644,0.0015644,0.0015644
24,6765.69,0.46048,0.666,0.33628,0.91742,0.95107,1,0.98649,0.97774,0.95107,1,0.98649,0.97723,0.24187,0.31442,0.35089,0.78675,0.0015446,0.0015446,0.0015446
25,7062.75,0.44597,0.65513,0.32069,0.91159,0.98221,1,0.99008,0.9766,0.98221,1,0.99008,0.9859,0.25142,0.28832,0.2198,0.78415,0.0015248,0.0015248,0.0015248
26,7398.4,0.43966,0.6464,0.3113,0.90676,0.98185,1,0.99336,0.97359,0.98185,1,0.99336,0.98346,0.25206,0.3175,0.42591,0.78694,0.001505,0.001505,0.001505
