epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.868,1.34152,2.00794,1.56001,0.03238,0.33898,0.02297,0.00534,3.18216,31.0982,5.59371,0.000659649,0.000659649,0.000659649
2,132.38,1.6061,2.0374,1.70897,0.02889,0.0339,0.00474,0.00074,3.73043,9.05504,4.18785,0.00131319,0.00131319,0.00131319
3,171.464,1.62127,2.01979,1.73696,0.18583,0.28814,0.11875,0.04212,2.53938,8.50169,3.29757,0.00195352,0.00195352,0.00195352
4,224.136,1.61078,1.9603,1.72554,0.71994,0.37288,0.41871,0.30202,1.80328,4.75857,1.92692,0.0019406,0.0019406,0.0019406
5,276.924,1.45147,1.8056,1.59741,0.55556,0.49153,0.48111,0.36829,1.46744,2.36333,1.72874,0.0019208,0.0019208,0.0019208
6,334.5,1.37074,1.65094,1.53214,0.59308,0.32203,0.38284,0.21607,2.11991,2.40533,2.13672,0.001901,0.001901,0.001901
7,439.002,1.36093,1.65943,1.53476,0.52116,0.38744,0.38766,0.24629,1.87586,2.58866,2.04751,0.0018812,0.0018812,0.0018812
8,561.807,1.32334,1.58499,1.50805,0.67803,0.45763,0.54653,0.40716,1.43436,1.83885,1.63315,0.0018614,0.0018614,0.0018614
9,694.34,1.23379,1.48192,1.44629,0.76641,0.52542,0.58454,0.47841,1.30135,1.61809,1.53422,0.0018416,0.0018416,0.0018416
10,813.054,1.20007,1.46807,1.43933,0.83946,0.42373,0.51142,0.39527,1.31969,1.93132,1.59517,0.0018218,0.0018218,0.0018218
11,856.291,1.22905,1.45804,1.44814,0.93625,0.52542,0.64756,0.51028,1.14185,1.50275,1.46622,0.001802,0.001802,0.001802
12,979.549,1.15295,1.36828,1.3854,0.91774,0.56737,0.70504,0.56881,1.18446,1.3801,1.49764,0.0017822,0.0017822,0.0017822
13,1090.99,1.14942,1.3899,1.36435,0.85665,0.55932,0.65501,0.51887,1.31313,1.45722,1.64018,0.0017624,0.0017624,0.0017624
14,1212.7,1.13353,1.33532,1.3547,0.68255,0.50847,0.52897,0.3983,1.33891,1.71951,1.69874,0.0017426,0.0017426,0.0017426
15,1339.88,1.10025,1.26909,1.35326,0.8897,0.52542,0.71848,0.56272,1.14024,1.26772,1.44032,0.0017228,0.0017228,0.0017228
16,1450.66,1.05904,1.26274,1.30577,0.87822,0.52542,0.62844,0.50504,1.18065,1.36325,1.47896,0.001703,0.001703,0.001703
17,1599.08,1.08635,1.22988,1.31854,0.95977,0.55932,0.7399,0.59521,1.02166,1.14161,1.31025,0.0016832,0.0016832,0.0016832
18,1718.71,1.06749,1.21263,1.30429,0.8571,0.71186,0.8022,0.63231,1.06552,1.15533,1.43634,0.0016634,0.0016634,0.0016634
19,1818.33,1.0181,1.1611,1.28126,0.92734,0.61017,0.77465,0.61244,1.11991,1.28405,1.41739,0.0016436,0.0016436,0.0016436
20,1937,1.01965,1.15567,1.27769,0.89108,0.69331,0.78647,0.63128,1.08164,1.05844,1.38065,0.0016238,0.0016238,0.0016238
21,2030.93,1.02651,1.16505,1.27678,0.92054,0.58916,0.73118,0.60657,1.05546,1.1906,1.30353,0.001604,0.001604,0.001604
